chr	start	end	strand	gene_id	gene_name
chr11	5224448	5224639	-	ENSG00000221031.1	ENSG00000221031
chr11	5225464	5229395	-	ENSG00000244734.4	HBB
chr11	5232678	5243657	-	ENSG00000223609.11	HBD
chr11	5241105	5243537	-	ENSG00000229988.2	HBBP1
chr11	5244554	5245546	-	ENSG00000260629.2	BGLT3
chr11	5248269	5249857	-	ENSG00000213934.9	HBG1
chr11	5248270	5254783	-	ENSG00000284931.1	ENSG00000284931
chr11	5253188	5505605	-	ENSG00000196565.15	HBG2
chr11	5254392	5678434	-	ENSG00000239920.2	ENSG00000239920
chr11	5268345	5505652	-	ENSG00000213931.7	HBE1
chr11	5291761	5292380	-	ENSG00000229093.1	OR51AB1P
chr11	5301014	5301946	-	ENSG00000183251.4	OR51B4
chr11	5303444	5505652	-	ENSG00000167355.8	OR51B5
chr11	5314772	5315684	-	ENSG00000223735.1	OR51B3P
chr11	5323359	5324297	-	ENSG00000279012.2	OR51B2
chr11	5330592	5331360	-	ENSG00000236359.1	OR51B8P
chr11	5351508	5352446	+	ENSG00000176239.7	OR51B6
chr11	5354692	5355578	+	ENSG00000230087.1	ENSG00000230087
chr11	5362615	5362849	+	ENSG00000236248.1	ENSG00000236248
chr11	5383812	5393263	+	ENSG00000184698.5	OR51M1
chr11	5402597	5403547	+	ENSG00000184321.1	OR51J1
chr11	5422111	5423206	+	ENSG00000167360.6	OR51Q1
chr11	5430653	5431602	-	ENSG00000248424.1	OR51K1P
chr11	5440570	5441514	-	ENSG00000167359.8	OR51I1
chr11	5449323	5456518	+	ENSG00000187918.6	OR51I2
chr11	5468486	5469422	-	ENSG00000230484.2	OR51A10P
chr11	5488685	5489749	+	ENSG00000181609.5	OR52D1
chr11	5507300	5509958	-	ENSG00000175520.9	UBQLN3
chr11	5514393	5518431	-	ENSG00000175518.8	UBQLNL
chr11	5518441	5524955	-	ENSG00000224295.3	OLFM5P
chr11	5527277	5528174	-	ENSG00000249633.1	OR52V1P
chr11	5544489	5548540	-	ENSG00000181616.10	OR52H1
chr11	5551662	5552563	-	ENSG00000248553.1	OR52H2P
chr11	5557096	5564327	+	ENSG00000231049.2	OR52B5P
chr11	5566678	5567616	-	ENSG00000233646.1	OR52T1P
chr11	5571247	5572192	-	ENSG00000229534.1	HNRNPA1P53
chr11	5580877	5581884	+	ENSG00000187747.2	OR52B6
chr11	5596109	5612958	+	ENSG00000121236.21	TRIM6
chr11	5596725	5644398	+	ENSG00000258588.3	TRIM6-TRIM34
chr11	5619764	5644398	+	ENSG00000258659.7	TRIM34
chr11	5663195	5938619	-	ENSG00000132256.20	TRIM5
chr11	5689697	5737089	+	ENSG00000132274.16	TRIM22
chr11	5719290	5720212	+	ENSG00000232381.1	OR52U1P
chr11	5726502	5727464	+	ENSG00000181109.3	OR52P1P
chr11	5736448	5738523	+	ENSG00000181023.8	OR56B1
chr11	5754243	5755958	+	ENSG00000181074.5	OR52N4
chr11	5761153	5767465	+	ENSG00000181017.6	OR56B2P
chr11	5776165	5783355	-	ENSG00000181009.5	OR52N5
chr11	5786471	5791265	-	ENSG00000181001.3	OR52N1
chr11	5800364	5801297	+	ENSG00000236965.4	OR52N3P
chr11	5808924	5821483	+	ENSG00000180988.3	OR52N2
chr11	5840928	5841952	-	ENSG00000205409.3	OR52E6
chr11	5856749	5857690	-	ENSG00000183269.6	OR52E8
chr11	5873960	5874892	+	ENSG00000233563.1	OR52E7P
chr11	5880629	5887079	+	ENSG00000180974.5	OR52E4
chr11	5893208	5902730	+	ENSG00000277932.2	OR52E5
chr11	5903767	5904448	+	ENSG00000277514.1	OR52Q1P
chr11	5938751	5951347	+	ENSG00000184478.8	OR56A3
chr11	5967177	5968494	-	ENSG00000188691.5	OR56A5
chr11	5985892	5986985	-	ENSG00000183313.4	OR52L1
chr11	5993876	5994995	-	ENSG00000254831.1	KRT18P58
chr11	5999445	6006946	-	ENSG00000183389.5	OR56A4
chr11	6016996	6017114	+	ENSG00000202147.1	RNA5SP329
chr11	6019336	6034338	-	ENSG00000180934.7	OR56A1
chr11	6040309	6094777	+	ENSG00000289150.1	ENSG00000289150
chr11	6045807	6046747	-	ENSG00000255481.2	OR56A7P
chr11	6057286	6058275	-	ENSG00000262980.2	OR52L2P
chr11	6066873	6067786	-	ENSG00000234895.1	OR52X1P
chr11	6107684	6108835	+	ENSG00000180919.3	OR56B4
chr11	6108135	6185576	-	ENSG00000254444.1	ENSG00000254444
chr11	6128610	6129556	+	ENSG00000180913.3	OR56B3P
chr11	6151641	6152549	-	ENSG00000180909.2	OR52B1P
chr11	6169355	6170326	-	ENSG00000255307.2	OR52B2
chr11	6199224	6200186	+	ENSG00000175485.3	OR52W1
chr11	6201901	6203253	-	ENSG00000267940.1	ENSG00000267940
chr11	6205557	6211135	+	ENSG00000180878.3	C11orf42
chr11	6211345	6234711	-	ENSG00000051009.11	FHIP1B
chr11	6234765	6244479	+	ENSG00000132259.13	CNGA4
chr11	6259806	6272127	+	ENSG00000110148.10	CCKBR
chr11	6297189	6298606	-	ENSG00000270435.1	ENSG00000270435
chr11	6318946	6320532	-	ENSG00000170955.10	CAVIN3
chr11	6319127	6360454	+	ENSG00000282556.4	ENSG00000282556
chr11	6362799	6365267	+	ENSG00000254443.1	ENSG00000254443
chr11	6390440	6394998	+	ENSG00000166311.10	SMPD1
chr11	6395125	6419414	-	ENSG00000166313.20	APBB1
chr11	6431049	6442617	-	ENSG00000110169.12	HPX
chr11	6448613	6474459	-	ENSG00000110171.21	TRIM3
chr11	6474683	6481479	-	ENSG00000132254.13	ARFIP2
chr11	6481485	6508978	+	ENSG00000283977.1	ENSG00000283977
chr11	6481501	6484681	+	ENSG00000132286.12	TIMM10B
chr11	6488186	6489377	-	ENSG00000254595.1	ENSG00000254595
chr11	6497260	6593758	+	ENSG00000179532.13	DNHD1
chr11	6595072	6603616	-	ENSG00000132275.11	RRP8
chr11	6603642	6604420	-	ENSG00000254400.1	ENSG00000254400
chr11	6603708	6610874	+	ENSG00000166333.14	ILK
chr11	6606294	6612539	-	ENSG00000166337.11	TAF10
chr11	6608667	6610135	-	ENSG00000254641.1	ENSG00000254641
chr11	6610883	6616594	-	ENSG00000285338.1	ENSG00000285338
chr11	6612768	6619448	-	ENSG00000166340.18	TPP1
chr11	6618790	6619764	+	ENSG00000255680.1	ENSG00000255680
chr11	6621330	6655809	-	ENSG00000166341.9	DCHS1
chr11	6621451	6622322	+	ENSG00000255390.1	DCHS1-AS1
chr11	6630504	6658396	+	ENSG00000255410.2	ENSG00000255410
chr11	6680385	6683340	-	ENSG00000158042.9	MRPL17
chr11	6685891	6686369	-	ENSG00000241678.1	ENSG00000241678
chr11	6713536	6746494	-	ENSG00000254838.6	GVINP1
chr11	6748131	6750324	+	ENSG00000254781.1	GVINP2
chr11	6765626	6771976	-	ENSG00000188124.4	OR2AG2
chr11	6783020	6791558	+	ENSG00000279486.6	OR2AG1
chr11	6791736	6799689	-	ENSG00000184933.6	OR6A2
chr11	6821942	6926878	-	ENSG00000283415.2	ENSG00000283415
chr11	6843664	6844666	-	ENSG00000254712.1	ENSG00000254712
chr11	6845683	6846636	+	ENSG00000166363.6	OR10A5
chr11	6863057	6874717	+	ENSG00000170790.6	OR10A2
chr11	6876625	6877619	+	ENSG00000170782.3	OR10A4
chr11	6891574	6892500	-	ENSG00000166368.3	OR2D2
chr11	6921002	6921994	+	ENSG00000178358.5	OR2D3
chr11	6926404	7001004	+	ENSG00000149054.16	ZNF215
chr11	6997085	7020346	-	ENSG00000149050.10	ZNF214
chr11	7020479	7071526	+	ENSG00000158077.5	NLRP14
chr11	7088998	7091148	+	ENSG00000170748.7	RBMXL2
chr11	7222933	7230863	+	ENSG00000255179.1	ENSG00000255179
chr11	7234766	7234837	+	ENSG00000221703.1	MIR302E
chr11	7238778	7469043	+	ENSG00000170743.17	SYT9
chr11	7418826	7513661	-	ENSG00000251364.8	ENSG00000251364
chr11	7485388	7511377	+	ENSG00000183801.8	OLFML1
chr11	7513298	7657127	+	ENSG00000166387.14	PPFIBP2
chr11	7568866	7572046	-	ENSG00000254864.1	ENSG00000254864
chr11	7665100	7677222	-	ENSG00000166394.15	CYB5R2
chr11	7689437	7706477	-	ENSG00000183378.13	OVCH2
chr11	7698951	7699393	-	ENSG00000275612.1	ENSG00000275612
chr11	7699562	7699988	-	ENSG00000276668.1	ENSG00000276668
chr11	7704628	7882947	-	ENSG00000271758.2	ENSG00000271758
chr11	7705288	7709517	+	ENSG00000254707.1	ENSG00000254707
chr11	7726436	7729684	+	ENSG00000176716.5	OR10AB1P
chr11	7745990	7746906	+	ENSG00000227892.1	OR5P4P
chr11	7754393	7905955	-	ENSG00000254951.7	ENSG00000254951
chr11	7772890	7773814	-	ENSG00000166408.4	OR5P1P
chr11	7783697	7784407	+	ENSG00000241008.1	ENSG00000241008
chr11	7795974	7796942	-	ENSG00000183303.3	OR5P2
chr11	7824818	7830840	-	ENSG00000182334.3	OR5P3
chr11	7848700	7849626	+	ENSG00000170688.4	OR5E1P
chr11	7889182	7889279	-	ENSG00000252769.1	RNU6-943P
chr11	7924592	7931268	-	ENSG00000279000.4	OR10A6
chr11	7937171	7941708	-	ENSG00000170683.7	OR10A3
